id,name,price,stock_remaining,href,imageSrc,imageAlt,breadcrumbs,images,colors,sizes,description,highlights,details,discount
1,Basic Tee 6-Pack,$192,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",10
2,Premium Hoodie,$92,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",10
3,Classic Jeans,$82,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",10
4,Sport Sneakers,$42,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",10
5,Leather Belt,$156,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",10
6,Classic Watch,$42,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",0
7,Gold Earrings,$452,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",0
8,Leather Bag,$141,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",0
9,Basic Tee 6-Pack,$177,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",0
10,Classic Heels,$752,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",0
11,Sport Watch,$222,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options. Feeling adventurous? Put on a heather gray tee. Want to be a trendsetter? Try our exclusive colorway: ""Black"". Need to add an extra pop of color to your outfit? Our white tee has you covered.","Hand cut and sewn locally | Dyed with our proprietary colors | Pre-washed & pre-shrunk | Ultra-soft 100% cotton","",0
