id,name,price,stock_remaining,href,imageSrc,imageAlt,breadcrumbs,images,colors,sizes,description,highlights,details,discount
1,Men's Basic Tee 6-Pack,$192,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Two each of gray, white, and black shirts laying flat.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Gray > bg-gray-200 > ring-gray-400 | Black > bg-gray-900 > ring-gray-900","XXS > false | XS > true | S > true | M > true | L > true | XL > true | 2XL > true | 3XL > true","The Basic Tee 6-Pack allows you to fully express your vibrant personality with three grayscale options.","Hand cut and sewn locally | Ultra-soft 100% cotton","",10
2,Women's Essential Tank Top 3-Pack,$78,75,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Three tank tops in navy, blush, and olive draped over a hanger.","Women > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Navy > bg-blue-900 > ring-blue-900 | Blush > bg-pink-200 > ring-pink-300 | Olive > bg-green-700 > ring-green-700","XS > true | S > true | M > true | L > true | XL > true | 2XL > false","Effortless style with navy, blush, or olive tank tops.","Lightweight and breathable | Relaxed fit","",15
3,Men's Slim Fit Jeans,$120,30,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Dark blue jeans folded neatly.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Dark Blue > bg-blue-800 > ring-blue-800 | Black > bg-black > ring-black","30 > true | 32 > true | 34 > true | 36 > true | 38 > false","Classic slim fit jeans for everyday wear.","Durable denim | Stretch fabric","",5
4,Women's Floral Maxi Dress,$150,20,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Floral dress hanging on a rack.","Women > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Red Floral > bg-red-200 > ring-red-300 | Blue Floral > bg-blue-200 > ring-blue-300","XS > true | S > true | M > true | L > true | XL > false","Flowy maxi dress with vibrant floral patterns.","Breathable fabric | Perfect for summer","",20
5,Men's Hooded Sweatshirt,$85,60,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Gray hoodie folded.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Gray > bg-gray-500 > ring-gray-500 | Navy > bg-blue-900 > ring-blue-900","S > true | M > true | L > true | XL > true | 2XL > true","Cozy hoodie for cool days.","Soft fleece lining | Kangaroo pocket","",10
6,Women's Denim Jacket,$110,25,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Light wash denim jacket on a hanger.","Women > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Light Wash > bg-blue-300 > ring-blue-300 | Dark Wash > bg-blue-800 > ring-blue-800","XS > true | S > true | M > true | L > true | XL > false","Timeless denim jacket for any season.","Durable stitching | Classic fit","",15
7,Men's Casual Shorts,$55,80,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Khaki shorts folded.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Khaki > bg-beige-500 > ring-beige-500 | Black > bg-black > ring-black","30 > true | 32 > true | 34 > true | 36 > true | 38 > true","Perfect shorts for warm weather.","Breathable cotton | Multiple pockets","",5
8,Women's Yoga Leggings,$65,90,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Black leggings folded.","Women > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Black > bg-black > ring-black | Gray > bg-gray-500 > ring-gray-500","XS > true | S > true | M > true | L > true | XL > true","Stretchy leggings for workouts or casual wear.","High-waisted | Moisture-wicking fabric","",10
9,Men's Polo Shirt,$70,45,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"White polo shirt folded.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","White > bg-white > ring-gray-400 | Navy > bg-blue-900 > ring-blue-900","S > true | M > true | L > true | XL > true | 2XL > true","Classic polo for a smart-casual look.","Breathable fabric | Button detailing","",8
10,Women's Cardigan Sweater,$95,35,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Cream cardigan draped over a chair.","Women > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Cream > bg-cream-200 > ring-cream-300 | Gray > bg-gray-500 > ring-gray-500","XS > true | S > true | M > true | L > true | XL > true","Cozy cardigan for layering.","Soft knit fabric | Button-front design","",12
11,Men's Bomber Jacket,$130,20,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Black bomber jacket on a hanger.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Black > bg-black > ring-black | Olive > bg-green-700 > ring-green-700","S > true | M > true | L > true | XL > true | 2XL > false","Stylish jacket for cooler days.","Ribbed cuffs | Zipper closure","",15
12,Women's Midi Skirt,$80,50,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Navy skirt folded.","Women > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Navy > bg-blue-900 > ring-blue-900 | Beige > bg-beige-300 > ring-beige-300","XS > true | S > true | M > true | L > true | XL > true","Versatile midi skirt for any occasion.","Flowy fit | Elastic waistband","",10
13,Men's Chino Pants,$100,40,#,https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-01-related-product-01.jpg,"Gray chinos folded.","Men > Clothing","https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-secondary-product-shot.jpg > Two each of gray, white, and black shirts laying flat. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-01.jpg > Model wearing plain black basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-tertiary-product-shot-02.jpg > Model wearing plain gray basic tee. | https://tailwindui.com/plus-assets/img/ecommerce-images/product-page-02-featured-product-shot.jpg > Model wearing plain white basic tee.","Gray > bg-gray-500 > ring-gray-500 | Khaki > bg-beige-500 > ring-beige-500","30 > true | 32 > true | 34 > true | 36 > true | 38 > true","Comfortable chinos for work or play.","Slim fit | Soft cotton blend","",8
